Time_ms,iliacus_left,iliacus_right,psoas_left,psoas_right,iliacus_left_envelope,iliacus_right_envelope,psoas_left_envelope,psoas_right_envelope
0,0.0,0.0,0.0,0.0,0.0002049123644590404,0.0002049123644590411,0.00020491236445903762,0.00020491236445903315
1,0.0031410759078128,0.0031410759078128,0.0031410759078128,0.0031410759078128,0.0002038977081250915,0.0002038977081250922,0.00020389770812508876,0.0002038977081250843
2,0.0062790519529313,0.0062790519529313,0.0062790519529313,0.0062790519529313,0.00020289778120896758,0.00020289778120896832,0.00020289778120896487,0.00020289778120896043
3,0.0094108313318514,0.0094108313318514,0.0094108313318514,0.0094108313318514,0.00020191219655143916,0.00020191219655143987,0.00020191219655143645,0.00020191219655143203
4,0.0125333233564304,0.0125333233564304,0.0125333233564304,0.0125333233564304,0.0002009405948403014,0.0002009405948403021,0.0002009405948402987,0.0002009405948402943
5,0.015643446504023,0.015643446504023,0.015643446504023,0.015643446504023,0.00019998264223894038,0.00019998264223894106,0.00019998264223893767,0.0001999826422389333
6,0.0187381314585724,0.0187381314585724,0.0187381314585724,0.0187381314585724,0.00019903802759792776,0.00019903802759792843,0.00019903802759792504,0.0001990380275979207
7,0.0218143241396542,0.0218143241396542,0.0218143241396542,0.0218143241396542,0.00019810645932673843,0.0001981064593267391,0.00019810645932673575,0.0001981064593267314
8,0.0248689887164854,0.0248689887164854,0.0248689887164854,0.0248689887164854,0.0001971876622819326,0.0001971876622819333,0.00019718766228192996,0.00019718766228192562
9,0.0278991106039229,0.0278991106039229,0.0278991106039229,0.0278991106039229,0.00019628137470247976,0.00019628137470248044,0.0001962813747024771,0.00019628137470247283
10,0.0309016994374947,0.0309016994374947,0.0309016994374947,0.0309016994374947,0.00019538734543939813,0.0001953873454393988,0.0001953873454393955,0.00019538734543939122
11,0.0338737920245291,0.0338737920245291,0.0338737920245291,0.0338737920245291,0.0001945053314953439,0.00019450533149534458,0.0001945053314953413,0.00019450533149533702
12,0.0368124552684678,0.0368124552684678,0.0368124552684678,0.0368124552684678,0.0001936350959885515,0.00019363509598855217,0.0001936350959885489,0.00019363509598854467
13,0.039714789063478,0.039714789063478,0.039714789063478,0.039714789063478,0.00019277640653979922,0.00019277640653979992,0.00019277640653979664,0.00019277640653979242
14,0.0425779291565072,0.0425779291565072,0.0425779291565072,0.0425779291565072,0.00019192903409541591,0.0001919290340954166,0.0001919290340954133,0.00019192903409540914
15,0.0453990499739546,0.0453990499739546,0.0453990499739546,0.0453990499739546,0.00019109275215750752,0.0001910927521575082,0.00019109275215750497,0.0001910927521575008
16,0.0481753674101715,0.0481753674101715,0.0481753674101715,0.0481753674101715,0.00019026733638033037,0.00019026733638033105,0.00019026733638032782,0.00019026733638032365
17,0.0509041415750371,0.0509041415750371,0.0509041415750371,0.0509041415750371,0.0001894525644757206,0.00018945256447572124,0.00018945256447571804,0.0001894525644757139
18,0.0535826794978996,0.0535826794978996,0.0535826794978996,0.0535826794978996,0.00018864821637037046,0.00018864821637037114,0.00018864821637036794,0.00018864821637036382
19,0.056208337785213,0.056208337785213,0.056208337785213,0.056208337785213,0.00018785407454219075,0.0001878540745421914,0.00018785407454218823,0.0001878540745421841
20,0.0587785252292473,0.0587785252292473,0.0587785252292473,0.0587785252292473,0.00018706992448340104,0.0001870699244834017,0.00018706992448339852,0.00018706992448339445
21,0.0612907053652976,0.0612907053652976,0.0612907053652976,0.0612907053652976,0.00018629555522074403,0.00018629555522074466,0.0001862955552207415,0.00018629555522073745
22,0.0637423989748689,0.0637423989748689,0.0637423989748689,0.0637423989748689,0.0001855307598529747,0.00018553075985297532,0.00018553075985297218,0.00018553075985296814
23,0.0661311865323651,0.0661311865323651,0.0661311865323651,0.0661311865323651,0.00018477533605476616,0.0001847753360547668,0.00018477533605476367,0.00018477533605475965
24,0.0684547105928688,0.0684547105928688,0.0684547105928688,0.0684547105928688,0.00018402908652066343,0.00018402908652066406,0.00018402908652066094,0.00018402908652065693
25,0.0707106781186547,0.0707106781186547,0.0707106781186547,0.0707106781186547,0.00018329181932373365,0.00018329181932373427,0.00018329181932373118,0.00018329181932372722
