Time_ms,iliacus_left,iliacus_right,psoas_left,psoas_right
0,0.0,0.0,0.0,0.0
1,0.0031410759078128294,0.0031410759078128294,0.0031410759078128294,0.0031410759078128294
2,0.006279051952931338,0.006279051952931338,0.006279051952931338,0.006279051952931338
3,0.009410831331851433,0.009410831331851433,0.009410831331851433,0.009410831331851433
4,0.012533323356430426,0.012533323356430426,0.012533323356430426,0.012533323356430426
5,0.01564344650402309,0.01564344650402309,0.01564344650402309,0.01564344650402309
6,0.018738131458572463,0.018738131458572463,0.018738131458572463,0.018738131458572463
7,0.021814324139654256,0.021814324139654256,0.021814324139654256,0.021814324139654256
8,0.02486898871648548,0.02486898871648548,0.02486898871648548,0.02486898871648548
9,0.02789911060392293,0.02789911060392293,0.02789911060392293,0.02789911060392293
10,0.03090169943749474,0.03090169943749474,0.03090169943749474,0.03090169943749474
11,0.033873792024529135,0.033873792024529135,0.033873792024529135,0.033873792024529135
12,0.0368124552684678,0.0368124552684678,0.0368124552684678,0.0368124552684678
13,0.03971478906347806,0.03971478906347806,0.03971478906347806,0.03971478906347806
14,0.042577929156507266,0.042577929156507266,0.042577929156507266,0.042577929156507266
15,0.04539904997395468,0.04539904997395468,0.04539904997395468,0.04539904997395468
16,0.04817536741017153,0.04817536741017153,0.04817536741017153,0.04817536741017153
17,0.050904141575037136,0.050904141575037136,0.050904141575037136,0.050904141575037136
18,0.05358267949789967,0.05358267949789967,0.05358267949789967,0.05358267949789967
19,0.05620833778521306,0.05620833778521306,0.05620833778521306,0.05620833778521306
20,0.058778525229247314,0.058778525229247314,0.058778525229247314,0.058778525229247314
21,0.061290705365297654,0.061290705365297654,0.061290705365297654,0.061290705365297654
22,0.06374239897486897,0.06374239897486897,0.06374239897486897,0.06374239897486897
23,0.06613118653236519,0.06613118653236519,0.06613118653236519,0.06613118653236519
24,0.06845471059286888,0.06845471059286888,0.06845471059286888,0.06845471059286888
25,0.07071067811865475,0.07071067811865475,0.07071067811865475,0.07071067811865475
26,0.07289686274214116,0.07289686274214116,0.07289686274214116,0.07289686274214116
27,0.07501110696304596,0.07501110696304596,0.07501110696304596,0.07501110696304596
28,0.07705132427757894,0.07705132427757894,0.07705132427757894,0.07705132427757894
29,0.07901550123756905,0.07901550123756905,0.07901550123756905,0.07901550123756905
30,0.08090169943749476,0.08090169943749476,0.08090169943749476,0.08090169943749476
31,0.08270805742745618,0.08270805742745618,0.08270805742745618,0.08270805742745618
32,0.08443279255020152,0.08443279255020152,0.08443279255020152,0.08443279255020152
33,0.08607420270039437,0.08607420270039437,0.08607420270039437,0.08607420270039437
34,0.08763066800438638,0.08763066800438638,0.08763066800438638,0.08763066800438638
35,0.08910065241883679,0.08910065241883679,0.08910065241883679,0.08910065241883679
36,0.09048270524660196,0.09048270524660196,0.09048270524660196,0.09048270524660196
37,0.09177546256839811,0.09177546256839811,0.09177546256839811,0.09177546256839811
38,0.09297764858882514,0.09297764858882514,0.09297764858882514,0.09297764858882514
39,0.09408807689542255,0.09408807689542255,0.09408807689542255,0.09408807689542255
40,0.09510565162951536,0.09510565162951536,0.09510565162951536,0.09510565162951536
41,0.09602936856769431,0.09602936856769431,0.09602936856769431,0.09602936856769431
42,0.09685831611286311,0.09685831611286311,0.09685831611286311,0.09685831611286311
43,0.09759167619387475,0.09759167619387475,0.09759167619387475,0.09759167619387475
44,0.09822872507286887,0.09822872507286887,0.09822872507286887,0.09822872507286887
45,0.09876883405951378,0.09876883405951378,0.09876883405951378,0.09876883405951378
46,0.0992114701314478,0.0992114701314478,0.0992114701314478,0.0992114701314478
47,0.099556196460308,0.099556196460308,0.099556196460308,0.099556196460308
48,0.09980267284282716,0.09980267284282716,0.09980267284282716,0.09980267284282716
49,0.09995065603657316,0.09995065603657316,0.09995065603657316,0.09995065603657316
50,0.1,0.1,0.1,0.1
51,0.09995065603657316,0.09995065603657316,0.09995065603657316,0.09995065603657316
52,0.09980267284282716,0.09980267284282716,0.09980267284282716,0.09980267284282716
53,0.099556196460308,0.099556196460308,0.099556196460308,0.099556196460308
54,0.0992114701314478,0.0992114701314478,0.0992114701314478,0.0992114701314478
55,0.09876883405951378,0.09876883405951378,0.09876883405951378,0.09876883405951378
56,0.09822872507286888,0.09822872507286888,0.09822872507286888,0.09822872507286888
57,0.09759167619387475,0.09759167619387475,0.09759167619387475,0.09759167619387475
58,0.09685831611286311,0.09685831611286311,0.09685831611286311,0.09685831611286311
59,0.09602936856769431,0.09602936856769431,0.09602936856769431,0.09602936856769431
60,0.09510565162951537,0.09510565162951537,0.09510565162951537,0.09510565162951537
61,0.09408807689542255,0.09408807689542255,0.09408807689542255,0.09408807689542255
62,0.09297764858882514,0.09297764858882514,0.09297764858882514,0.09297764858882514
